3423612;371;2013-01-30T07:45:45;amex;3797 2886 9038 850;10114
3423616;147;2013-01-29T06:55:48;visa;4104 5004 0613 0704;10220
3423617;589;2013-01-03T01:05:04;visa;4327 9730 5076 2398;10208
3423618;967;2013-01-08T12:00:38;maestro;6762 0929 7745 1311;10031
3423620;907;2013-01-01T01:53:24;instapayment;6390 0420 4417 0287;10336
3423626;932;2013-01-03T06:21:25;mastercard;5579 1178 8636 3045;10028
3423637;75;2013-01-12T08:50:13;amex;3433 0651 8105 843;10242
3423648;354;2013-01-01T06:00:51;instapayment;6375 1520 0942 4782;10348
3423653;629;2013-01-22T01:46:03;maestro;6763 6097 0151 3832;10182
3423654;837;2013-01-04T03:57:14;visaelectron;4175 0003 9667 5127;10114
3423655;698;2013-01-03T11:02:41;instapayment;6392 2665 3043 3655;10015
3423659;969;2013-01-29T12:11:31;mastercard;5576 8599 4095 8376;10079
3423661;991;2013-01-08T11:32:19;instapayment;6395 5475 8359 0773;10220
3423665;9;2013-01-30T10:40:49;mastercard;5226 2076 7678 1154;10126
3423667;131;2013-01-10T10:27:31;instapayment;6379 1552 9783 8494;10231
3423670;105;2013-01-12T08:15:33;visaelectron;4844 5278 9957 2345;10110
3423675;840;2013-01-19T11:26:47;visa;4222 6534 8041 8946;10242
3423679;265;2013-01-23T08:49:25;amex;3767 5080 4206 395;10276
3423680;115;2013-01-19T05:03:09;maestro;5020 0609 3398 4659;10015
3423691;965;2013-01-09T08:42:59;visaelectron;4917 6622 1056 3236;10317
3423692;105;2013-01-18T10:59:45;visa;4584 6571 8523 8998;10079
3423697;53;2013-01-04T09:01:26;visaelectron;4844 6037 2099 9682;10300
3423698;344;2013-01-26T08:28:25;maestro;5018 8128 3448 1761;10093
3423702;803;2013-01-25T12:28:12;amex;3434 9345 8947 135;10071
3423712;477;2013-01-24T07:53:47;maestro;5893 0603 9691 1029;10340
3423716;26;2013-01-09T01:01:40;mastercard;5324 3044 2247 7814;10077
3423718;398;2013-01-22T10:43:03;mastercard;5211 2664 2618 8323;10040
3423725;518;2013-01-04T03:24:32;instapayment;6374 6042 4021 6022;10207
3423726;433;2013-01-24T12:58:04;maestro;5893 7718 8332 4886;10191
3423729;581;2013-01-05T08:22:20;visaelectron;4913 1696 5942 6986;10345
3423730;64;2013-01-21T08:48:37;mastercard;5488 1764 1874 9345;10126
3423735;795;2013-01-17T09:54:04;visa;4782 8966 0536 6985;10030
3423740;165;2013-01-17T09:09:14;amex;3488 5359 6977 762;10157
3423742;330;2013-01-27T10:06:57;instapayment;6395 4930 1944 0186;10035
3423747;329;2013-01-25T05:53:26;maestro;6761 6212 3098 8759;10090
3423763;793;2013-01-06T08:35:49;amex;3717 6496 4455 952;10022
3423764;670;2013-01-24T11:16:09;maestro;5893 5625 8445 1536;10216
3423765;192;2013-01-26T04:27:54;visaelectron;4175 0016 9159 7297;10094
3423768;12;2013-01-06T03:34:39;maestro;5018 5049 4119 1363;10059
3423770;459;2013-01-27T08:54:04;visaelectron;4844 1795 7830 7476;10167
3423773;258;2013-01-24T05:49:15;mastercard;5133 2764 7821 5481;10257
